figure_name,file_location,name_stat,type_stat,name_syst,type_syst,description,paper_location,x1_name,x1_units,x2_name,x2_units,y_name,y_units
Figure11_Panel2_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har3_Pt0,TGraphErrors,sys_nsc_3sub_Har3_Pt0,TGraphAsymmErrors,"nsc_2_4{4}, 3-subevent, 0.5<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure11_Panel2_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har3_Pt2,TGraphErrors,sys_nsc_3sub_Har3_Pt2,TGraphAsymmErrors,"nsc_2_4{4}, 3-subevent, 1.0<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure11_Panel2_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har3_Pt4,TGraphErrors,sys_nsc_3sub_Har3_Pt4,TGraphAsymmErrors,"nsc_2_4{4}, 3-subevent, 1.5<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure11_Panel2_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nsc_3sub_Har3_Pt6,TGraphErrors,sys_nsc_3sub_Har3_Pt6,TGraphAsymmErrors,"nsc_2_4{4}, 3-subevent, 2.0<pT<5.0 GeV",Page 19,Centrality,,,,nsc_2_4{4},
Figure12_Panel1_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_1sub_Har2_Pt0,TGraphErrors,sys_nac_1sub_Har2_Pt0,TGraphAsymmErrors,"nac_2{3}, standard, 0.5<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel1_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_1sub_Har2_Pt2,TGraphErrors,sys_nac_1sub_Har2_Pt2,TGraphAsymmErrors,"nac_2{3}, standard, 1.0<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel1_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_1sub_Har2_Pt4,TGraphErrors,sys_nac_1sub_Har2_Pt4,TGraphAsymmErrors,"nac_2{3}, standard, 1.5<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel1_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_1sub_Har2_Pt6,TGraphErrors,sys_nac_1sub_Har2_Pt6,TGraphAsymmErrors,"nac_2{3}, standard, 2.0<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel2_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_3sub_Har2_Pt0,TGraphErrors,sys_nac_3sub_Har2_Pt0,TGraphAsymmErrors,"nac_2{3}, 3-subevent, 0.5<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel2_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_3sub_Har2_Pt2,TGraphErrors,sys_nac_3sub_Har2_Pt2,TGraphAsymmErrors,"nac_2{3}, 3-subevent, 1.0<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel2_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_3sub_Har2_Pt4,TGraphErrors,sys_nac_3sub_Har2_Pt4,TGraphAsymmErrors,"nac_2{3}, 3-subevent, 1.5<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure12_Panel2_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_nac_3sub_Har2_Pt6,TGraphErrors,sys_nac_3sub_Har2_Pt6,TGraphAsymmErrors,"nac_2{3}, 3-subevent, 2.0<pT<5.0 GeV",Page 20,Centrality,,,,nac_2{3},
Figure13_Panel1_pt0,data/hist_PbPb502_binFCal_bin0_paper.root,sts_v2_3sub_Har2_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt0,TGraphAsymmErrors,"v_2{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 21,Et,TeV,,,"v_2{2, Et}",
Figure13_Panel1_pt1,data/hist_PbPb502_binFCal_bin0_paper.root,sts_v2_3sub_Har2_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt2,TGraphAsymmErrors,"v_2{2, Et}, 3-subevent, 1.0<pT<5.0 GeV",Page 21,Et,TeV,,,"v_2{2, Et}",
Figure13_Panel1_pt2,data/hist_PbPb502_binFCal_bin0_paper.root,sts_v2_3sub_Har2_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt4,TGraphAsymmErrors,"v_2{2, Et}, 3-subevent, 1.5<pT<5.0 GeV",Page 21,Et,TeV,,,"v_2{2, Et}",
Figure13_Panel1_pt3,data/hist_PbPb502_binFCal_bin0_paper.root,sts_v2_3sub_Har2_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt6,TGraphAsymmErrors,"v_2{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 21,Et,TeV,,,"v_2{2, Et}",
Figure13_Panel2_pt0,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har3_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt0,TGraphAsymmErrors,"v_3{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 21,Et,TeV,,,"v_3{2, Et}",
Figure13_Panel2_pt1,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har3_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt2,TGraphAsymmErrors,"v_3{2, Et}, 3-subevent, 1.0<pT<5.0 GeV",Page 21,Et,TeV,,,"v_3{2, Et}",
Figure13_Panel2_pt2,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har3_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt4,TGraphAsymmErrors,"v_3{2, Et}, 3-subevent, 1.5<pT<5.0 GeV",Page 21,Et,TeV,,,"v_3{2, Et}",
Figure13_Panel2_pt3,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har3_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt6,TGraphAsymmErrors,"v_3{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 21,Et,TeV,,,"v_3{2, Et}",
Figure13_Panel3_pt0,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har4_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt0,TGraphAsymmErrors,"v_4{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 21,Et,TeV,,,"v_4{2, Et}",
Figure13_Panel3_pt1,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har4_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt2,TGraphAsymmErrors,"v_4{2, Et}, 3-subevent, 1.0<pT<5.0 GeV",Page 21,Et,TeV,,,"v_4{2, Et}",
Figure13_Panel3_pt2,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har4_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt4,TGraphAsymmErrors,"v_4{2, Et}, 3-subevent, 1.5<pT<5.0 GeV",Page 21,Et,TeV,,,"v_4{2, Et}",
Figure13_Panel3_pt3,data/hist_PbPb502_binFCal_bin1_paper.root,sts_v2_3sub_Har4_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt6,TGraphAsymmErrors,"v_4{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 21,Et,TeV,,,"v_4{2, Et}",
Figure13_Panel4_pt0,data/hist_PbPb502_binNch_bin1_paper.root,sts_v2_3sub_Har2_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt0,TGraphAsymmErrors,"v_2{2, Nch}, 3-subevent, 0.5<pT<5.0 GeV",Page 21,NchRec,,,,"v_2{2, Nch}",
Figure13_Panel4_pt1,data/hist_PbPb502_binNch_bin1_paper.root,sts_v2_3sub_Har2_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt2,TGraphAsymmErrors,"v_2{2, Nch}, 3-subevent, 1.0<pT<5.0 GeV",Page 21,NchRec,,,,"v_2{2, Nch}",
Figure13_Panel4_pt2,data/hist_PbPb502_binNch_bin1_paper.root,sts_v2_3sub_Har2_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt4,TGraphAsymmErrors,"v_2{2, Nch}, 3-subevent, 1.5<pT<5.0 GeV",Page 21,NchRec,,,,"v_2{2, Nch}",
Figure13_Panel4_pt3,data/hist_PbPb502_binNch_bin1_paper.root,sts_v2_3sub_Har2_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt6,TGraphAsymmErrors,"v_2{2, Nch}, 3-subevent, 2.0<pT<5.0 GeV",Page 21,NchRec,,,,"v_2{2, Nch}",
Figure13_Panel5_pt0,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har3_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt0,TGraphAsymmErrors,"v_3{2, Nch}, 3-subevent, 0.5<pT<5.0 GeV",Page 21,NchRec,,,,"v_3{2, Nch}",
Figure13_Panel5_pt1,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har3_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt2,TGraphAsymmErrors,"v_3{2, Nch}, 3-subevent, 1.0<pT<5.0 GeV",Page 21,NchRec,,,,"v_3{2, Nch}",
Figure13_Panel5_pt2,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har3_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt4,TGraphAsymmErrors,"v_3{2, Nch}, 3-subevent, 1.5<pT<5.0 GeV",Page 21,NchRec,,,,"v_3{2, Nch}",
Figure13_Panel5_pt3,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har3_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt6,TGraphAsymmErrors,"v_3{2, Nch}, 3-subevent, 2.0<pT<5.0 GeV",Page 21,NchRec,,,,"v_3{2, Nch}",
Figure13_Panel6_pt0,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har4_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt0,TGraphAsymmErrors,"v_4{2, Nch}, 3-subevent, 0.5<pT<5.0 GeV",Page 21,NchRec,,,,"v_4{2, Nch}",
Figure13_Panel6_pt1,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har4_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt2,TGraphAsymmErrors,"v_4{2, Nch}, 3-subevent, 1.0<pT<5.0 GeV",Page 21,NchRec,,,,"v_4{2, Nch}",
Figure13_Panel6_pt2,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har4_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt4,TGraphAsymmErrors,"v_4{2, Nch}, 3-subevent, 1.5<pT<5.0 GeV",Page 21,NchRec,,,,"v_4{2, Nch}",
Figure13_Panel6_pt3,data/hist_PbPb502_binNch_bin2_paper.root,sts_v2_3sub_Har4_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har4_Pt6,TGraphAsymmErrors,"v_4{2, Nch}, 3-subevent, 2.0<pT<5.0 GeV",Page 21,NchRec,,,,"v_4{2, Nch}",
Figure14_Panel1_pt0,data/fromCanvas.root,fig14a_pad1_Rsts_c2_3sub_Har2_Pt0_v2_map,TGraphAsymmErrors,fig14a_pad1_Rsys_c2_3sub_Har2_Pt0_v2_map,TGraphAsymmErrors,"v_2{2, Nch} / v_2{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 22,Et,TeV,,,Ratio,
Figure14_Panel1_pt1,data/fromCanvas.root,fig14a_pad1_Rsts_c2_3sub_Har2_Pt6_v2_map,TGraphAsymmErrors,fig14a_pad1_Rsys_c2_3sub_Har2_Pt6_v2_map,TGraphAsymmErrors,"v_2{2, Nch} / v_2{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 22,Et,TeV,,,Ratio,
Figure14_Panel2_pt0,data/fromCanvas.root,fig14a_pad2_Rsts_c2_3sub_Har3_Pt0_v2_map,TGraphAsymmErrors,fig14a_pad2_Rsys_c2_3sub_Har3_Pt0_v2_map,TGraphAsymmErrors,"v_3{2, Nch} / v_3{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 22,Et,TeV,,,Ratio,
Figure14_Panel2_pt1,data/fromCanvas.root,fig14a_pad2_Rsts_c2_3sub_Har3_Pt6_v2_map,TGraphAsymmErrors,fig14a_pad2_Rsys_c2_3sub_Har3_Pt6_v2_map,TGraphAsymmErrors,"v_3{2, Nch} / v_3{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 22,Et,TeV,,,Ratio,
Figure14_Panel3_pt0,data/fromCanvas.root,fig14a_pad3_Rsts_c2_3sub_Har4_Pt0_v2_map,TGraphAsymmErrors,fig14a_pad3_Rsys_c2_3sub_Har4_Pt0_v2_map,TGraphAsymmErrors,"v_4{2, Nch} / v_4{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 22,Et,TeV,,,Ratio,
Figure14_Panel3_pt1,data/fromCanvas.root,fig14a_pad3_Rsts_c2_3sub_Har4_Pt6_v2_map,TGraphAsymmErrors,fig14a_pad3_Rsys_c2_3sub_Har4_Pt6_v2_map,TGraphAsymmErrors,"v_4{2, Nch} / v_4{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 22,Et,TeV,,,Ratio,
Figure14_Panel4_pt0,data/fromCanvas.root,fig14b_pad1_Rsts_c2_3sub_Har2_Pt0_v2_map,TGraphAsymmErrors,fig14b_pad1_Rsys_c2_3sub_Har2_Pt0_v2_map,TGraphAsymmErrors,"v_2{2, Nch} / v_2{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 22,NchRec,,,,Ratio,
Figure14_Panel4_pt1,data/fromCanvas.root,fig14b_pad1_Rsts_c2_3sub_Har2_Pt6_v2_map,TGraphAsymmErrors,fig14b_pad1_Rsys_c2_3sub_Har2_Pt6_v2_map,TGraphAsymmErrors,"v_2{2, Nch} / v_2{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 22,NchRec,,,,Ratio,
Figure14_Panel5_pt0,data/fromCanvas.root,fig14b_pad2_Rsts_c2_3sub_Har3_Pt0_v2_map,TGraphAsymmErrors,fig14b_pad2_Rsys_c2_3sub_Har3_Pt0_v2_map,TGraphAsymmErrors,"v_3{2, Nch} / v_3{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 22,NchRec,,,,Ratio,
Figure14_Panel5_pt1,data/fromCanvas.root,fig14b_pad2_Rsts_c2_3sub_Har3_Pt6_v2_map,TGraphAsymmErrors,fig14b_pad2_Rsys_c2_3sub_Har3_Pt6_v2_map,TGraphAsymmErrors,"v_3{2, Nch} / v_3{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 22,NchRec,,,,Ratio,
Figure14_Panel6_pt0,data/fromCanvas.root,fig14b_pad3_Rsts_c2_3sub_Har4_Pt0_v2_map,TGraphAsymmErrors,fig14b_pad3_Rsys_c2_3sub_Har4_Pt0_v2_map,TGraphAsymmErrors,"v_4{2, Nch} / v_4{2, Et}, 3-subevent, 0.5<pT<5.0 GeV",Page 22,NchRec,,,,Ratio,
Figure14_Panel6_pt1,data/fromCanvas.root,fig14b_pad3_Rsts_c2_3sub_Har4_Pt6_v2_map,TGraphAsymmErrors,fig14b_pad3_Rsys_c2_3sub_Har4_Pt6_v2_map,TGraphAsymmErrors,"v_4{2, Nch} / v_4{2, Et}, 3-subevent, 2.0<pT<5.0 GeV",Page 22,NchRec,,,,Ratio,
Figure15_Panel1_pt0,data/hist_PbPb502_binFCal_bin0_paper.root,sts_nc4_1sub_Har2_Pt0,TGraphErrors,sys_nc4_1sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{4, Et}, standard, 0.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure15_Panel1_pt1,data/hist_PbPb502_binFCal_bin0_paper.root,sts_nc4_1sub_Har2_Pt2,TGraphErrors,sys_nc4_1sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{4, Et}, standard, 1.0<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure15_Panel1_pt2,data/hist_PbPb502_binFCal_bin0_paper.root,sts_nc4_1sub_Har2_Pt4,TGraphErrors,sys_nc4_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{4, Et}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure15_Panel1_pt3,data/hist_PbPb502_binFCal_bin0_paper.root,sts_nc4_1sub_Har2_Pt6,TGraphErrors,sys_nc4_1sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{4, Et}, standard, 2.0<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure15_Panel2_pt0,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har3_Pt0,TGraphErrors,sys_nc4_1sub_Har3_Pt0,TGraphAsymmErrors,"nc_3{4, Et}, standard, 0.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_3{4, Et}",
Figure15_Panel2_pt1,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har3_Pt2,TGraphErrors,sys_nc4_1sub_Har3_Pt2,TGraphAsymmErrors,"nc_3{4, Et}, standard, 1.0<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_3{4, Et}",
Figure15_Panel2_pt2,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har3_Pt4,TGraphErrors,sys_nc4_1sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{4, Et}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_3{4, Et}",
Figure15_Panel2_pt3,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har3_Pt6,TGraphErrors,sys_nc4_1sub_Har3_Pt6,TGraphAsymmErrors,"nc_3{4, Et}, standard, 2.0<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_3{4, Et}",
Figure15_Panel3_pt0,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har4_Pt0,TGraphErrors,sys_nc4_1sub_Har4_Pt0,TGraphAsymmErrors,"nc_4{4, Et}, standard, 0.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_4{4, Et}",
Figure15_Panel3_pt1,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har4_Pt2,TGraphErrors,sys_nc4_1sub_Har4_Pt2,TGraphAsymmErrors,"nc_4{4, Et}, standard, 1.0<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_4{4, Et}",
Figure15_Panel3_pt2,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har4_Pt4,TGraphErrors,sys_nc4_1sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{4, Et}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_4{4, Et}",
Figure15_Panel3_pt3,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har4_Pt6,TGraphErrors,sys_nc4_1sub_Har4_Pt6,TGraphAsymmErrors,"nc_4{4, Et}, standard, 2.0<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_4{4, Et}",
Figure15_Panel4_pt0,data/hist_PbPb502_binNch_bin1_paper.root,sts_nc4_1sub_Har2_Pt0,TGraphErrors,sys_nc4_1sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{4, Nch}, standard, 0.5<pT<5.0 GeV",Page 23,NchRec,,,,"nc_2{4, Nch}",
Figure15_Panel4_pt1,data/hist_PbPb502_binNch_bin1_paper.root,sts_nc4_1sub_Har2_Pt2,TGraphErrors,sys_nc4_1sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{4, Nch}, standard, 1.0<pT<5.0 GeV",Page 23,NchRec,,,,"nc_2{4, Nch}",
Figure15_Panel4_pt2,data/hist_PbPb502_binNch_bin1_paper.root,sts_nc4_1sub_Har2_Pt4,TGraphErrors,sys_nc4_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{4, Nch}, standard, 1.5<pT<5.0 GeV",Page 23,NchRec,,,,"nc_2{4, Nch}",
Figure15_Panel4_pt3,data/hist_PbPb502_binNch_bin1_paper.root,sts_nc4_1sub_Har2_Pt6,TGraphErrors,sys_nc4_1sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{4, Nch}, standard, 2.0<pT<5.0 GeV",Page 23,NchRec,,,,"nc_2{4, Nch}",
Figure15_Panel5_pt0,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har3_Pt0,TGraphErrors,sys_nc4_1sub_Har3_Pt0,TGraphAsymmErrors,"nc_3{4, Nch}, standard, 0.5<pT<5.0 GeV",Page 23,NchRec,,,,"nc_3{4, Nch}",
Figure15_Panel5_pt1,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har3_Pt2,TGraphErrors,sys_nc4_1sub_Har3_Pt2,TGraphAsymmErrors,"nc_3{4, Nch}, standard, 1.0<pT<5.0 GeV",Page 23,NchRec,,,,"nc_3{4, Nch}",
Figure15_Panel5_pt2,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har3_Pt4,TGraphErrors,sys_nc4_1sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{4, Nch}, standard, 1.5<pT<5.0 GeV",Page 23,NchRec,,,,"nc_3{4, Nch}",
Figure15_Panel5_pt3,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har3_Pt6,TGraphErrors,sys_nc4_1sub_Har3_Pt6,TGraphAsymmErrors,"nc_3{4, Nch}, standard, 2.0<pT<5.0 GeV",Page 23,NchRec,,,,"nc_3{4, Nch}",
Figure15_Panel6_pt0,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har4_Pt0,TGraphErrors,sys_nc4_1sub_Har4_Pt0,TGraphAsymmErrors,"nc_4{4, Nch}, standard, 0.5<pT<5.0 GeV",Page 23,NchRec,,,,"nc_4{4, Nch}",
Figure15_Panel6_pt1,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har4_Pt2,TGraphErrors,sys_nc4_1sub_Har4_Pt2,TGraphAsymmErrors,"nc_4{4, Nch}, standard, 1.0<pT<5.0 GeV",Page 23,NchRec,,,,"nc_4{4, Nch}",
Figure15_Panel6_pt2,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har4_Pt4,TGraphErrors,sys_nc4_1sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{4, Nch}, standard, 1.5<pT<5.0 GeV",Page 23,NchRec,,,,"nc_4{4, Nch}",
Figure15_Panel6_pt3,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc4_1sub_Har4_Pt6,TGraphErrors,sys_nc4_1sub_Har4_Pt6,TGraphAsymmErrors,"nc_4{4, Nch}, standard, 2.0<pT<5.0 GeV",Page 23,NchRec,,,,"nc_4{4, Nch}",
Figure16_Panel1_Et,data/hist_PbPb502_binFCal_bin0_paper.root,sts_nc4_1sub_Har2_Pt4,TGraphErrors,sys_nc4_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{4, Et}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure16_Panel1_NchRec,data/hist_PbPb502_binNch_bin1_paper.root,cvt_sts_nc4_1sub_Har2_Pt4,TGraphErrors,cvt_sys_nc4_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{4, Nch}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Nch}",
Figure16_Panel2_Et,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har3_Pt4,TGraphErrors,sys_nc4_1sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{4, Et}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure16_Panel2_NchRec,data/hist_PbPb502_binNch_bin3_paper.root,cvt_sts_nc4_1sub_Har3_Pt4,TGraphErrors,cvt_sys_nc4_1sub_Har3_Pt4,TGraphAsymmErrors,"nc_3{4, Nch}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Nch}",
Figure16_Panel3_Et,data/hist_PbPb502_binFCal_bin2_paper.root,sts_nc4_1sub_Har4_Pt4,TGraphErrors,sys_nc4_1sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{4, Et}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Et}",
Figure16_Panel3_NchRec,data/hist_PbPb502_binNch_bin3_paper.root,cvt_sts_nc4_1sub_Har4_Pt4,TGraphErrors,cvt_sys_nc4_1sub_Har4_Pt4,TGraphAsymmErrors,"nc_4{4, Nch}, standard, 1.5<pT<5.0 GeV",Page 23,Et,TeV,,,"nc_2{4, Nch}",
Figure17_Panel1_pt0,data/hist_PbPb502_binFCal_bin1_paper.root,sts_nc6_1sub_Har2_Pt0,TGraphErrors,sys_nc6_1sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{6, Et}, standard, 0.5<pT<5.0 GeV",Page 24,Et,TeV,,,"nc_2{6, Et}",
Figure17_Panel1_pt1,data/hist_PbPb502_binFCal_bin1_paper.root,sts_nc6_1sub_Har2_Pt2,TGraphErrors,sys_nc6_1sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{6, Et}, standard, 1.0<pT<5.0 GeV",Page 24,Et,TeV,,,"nc_2{6, Et}",
Figure17_Panel1_pt2,data/hist_PbPb502_binFCal_bin1_paper.root,sts_nc6_1sub_Har2_Pt4,TGraphErrors,sys_nc6_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{6, Et}, standard, 1.5<pT<5.0 GeV",Page 24,Et,TeV,,,"nc_2{6, Et}",
Figure17_Panel1_pt3,data/hist_PbPb502_binFCal_bin1_paper.root,sts_nc6_1sub_Har2_Pt6,TGraphErrors,sys_nc6_1sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{6, Et}, standard, 2.0<pT<5.0 GeV",Page 24,Et,TeV,,,"nc_2{6, Et}",
Figure17_Panel2_pt0,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc6_1sub_Har2_Pt0,TGraphErrors,sys_nc6_1sub_Har2_Pt0,TGraphAsymmErrors,"nc_2{6, Nch}, standard, 0.5<pT<5.0 GeV",Page 24,NchRec,,,,"nc_2{6, Nch}",
Figure17_Panel2_pt1,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc6_1sub_Har2_Pt2,TGraphErrors,sys_nc6_1sub_Har2_Pt2,TGraphAsymmErrors,"nc_2{6, Nch}, standard, 1.0<pT<5.0 GeV",Page 24,NchRec,,,,"nc_2{6, Nch}",
Figure17_Panel2_pt2,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc6_1sub_Har2_Pt4,TGraphErrors,sys_nc6_1sub_Har2_Pt4,TGraphAsymmErrors,"nc_2{6, Nch}, standard, 1.5<pT<5.0 GeV",Page 24,NchRec,,,,"nc_2{6, Nch}",
Figure17_Panel2_pt3,data/hist_PbPb502_binNch_bin2_paper.root,sts_nc6_1sub_Har2_Pt6,TGraphErrors,sys_nc6_1sub_Har2_Pt6,TGraphAsymmErrors,"nc_2{6, Nch}, standard, 2.0<pT<5.0 GeV",Page 24,NchRec,,,,"nc_2{6, Nch}",
